iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
KOR,Asia,South Korea,2020-01-28,4.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,130.0,187.0,0.004,0.003,25.0,0.0,0.017,people tested,0.0,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-01-28,South Korea,KOR,"Jan 28, 2020",0,2020-01-28
KOR,Asia,South Korea,2020-02-02,15.0,3.0,0.0,0.0,0.293,0.059,0.0,0.0,58.0,429.0,0.008,0.001,54.0,0.001,0.032,people tested,13.89,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-02,South Korea,KOR,"Feb 2, 2020",0,2020-02-02
KOR,Asia,South Korea,2020-02-05,18.0,2.0,0.0,0.0,0.351,0.039,0.0,0.0,107.0,714.0,0.014,0.002,71.0,0.001,0.027999999999999997,people tested,27.78,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-05,South Korea,KOR,"Feb 5, 2020",0,2020-02-05
KOR,Asia,South Korea,2020-02-06,23.0,5.0,0.0,0.0,0.449,0.098,0.0,0.0,171.0,885.0,0.017,0.003,92.0,0.002,0.03,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-06,South Korea,KOR,"Feb 6, 2020",0,2020-02-06
KOR,Asia,South Korea,2020-02-07,24.0,1.0,0.0,0.0,0.468,0.02,0.0,0.0,245.0,1130.0,0.022,0.005,118.0,0.002,0.021,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-07,South Korea,KOR,"Feb 7, 2020",0,2020-02-07
KOR,Asia,South Korea,2020-02-08,24.0,0.0,0.0,0.0,0.468,0.0,0.0,0.0,571.0,1701.0,0.033,0.011,190.0,0.004,0.009000000000000001,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-08,South Korea,KOR,"Feb 8, 2020",0,2020-02-08
KOR,Asia,South Korea,2020-02-09,25.0,1.0,0.0,0.0,0.488,0.02,0.0,0.0,639.0,2340.0,0.046,0.012,273.0,0.005,0.005,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-09,South Korea,KOR,"Feb 9, 2020",0,2020-02-09
KOR,Asia,South Korea,2020-02-10,27.0,2.0,0.0,0.0,0.527,0.039,0.0,0.0,436.0,2776.0,0.054,0.009,323.0,0.006,0.005,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-10,South Korea,KOR,"Feb 10, 2020",0,2020-02-10
KOR,Asia,South Korea,2020-02-11,28.0,1.0,0.0,0.0,0.546,0.02,0.0,0.0,853.0,3629.0,0.071,0.017,432.0,0.008,0.004,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-11,South Korea,KOR,"Feb 11, 2020",0,2020-02-11
KOR,Asia,South Korea,2020-02-12,28.0,0.0,0.0,0.0,0.546,0.0,0.0,0.0,1445.0,5074.0,0.099,0.028,623.0,0.012,0.002,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-12,South Korea,KOR,"Feb 12, 2020",0,2020-02-12
KOR,Asia,South Korea,2020-02-13,28.0,0.0,0.0,0.0,0.546,0.0,0.0,0.0,723.0,5797.0,0.113,0.014,702.0,0.014,0.001,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-13,South Korea,KOR,"Feb 13, 2020",0,2020-02-13
KOR,Asia,South Korea,2020-02-14,28.0,0.0,0.0,0.0,0.546,0.0,0.0,0.0,1057.0,6854.0,0.134,0.021,818.0,0.016,0.001,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-14,South Korea,KOR,"Feb 14, 2020",0,2020-02-14
KOR,Asia,South Korea,2020-02-15,28.0,0.0,0.0,0.0,0.546,0.0,0.0,0.0,665.0,7519.0,0.147,0.013,831.0,0.016,0.001,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-15,South Korea,KOR,"Feb 15, 2020",0,2020-02-15
KOR,Asia,South Korea,2020-02-16,29.0,1.0,0.0,0.0,0.566,0.02,0.0,0.0,400.0,7919.0,0.154,0.008,797.0,0.016,0.001,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-16,South Korea,KOR,"Feb 16, 2020",0,2020-02-16
KOR,Asia,South Korea,2020-02-17,30.0,1.0,0.0,0.0,0.585,0.02,0.0,0.0,252.0,8171.0,0.159,0.005,771.0,0.015,0.001,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-17,South Korea,KOR,"Feb 17, 2020",0,2020-02-17
KOR,Asia,South Korea,2020-02-18,31.0,1.0,0.0,0.0,0.605,0.02,0.0,0.0,1094.0,9265.0,0.181,0.021,805.0,0.016,0.001,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-18,South Korea,KOR,"Feb 18, 2020",0,2020-02-18
KOR,Asia,South Korea,2020-02-19,46.0,15.0,0.0,0.0,0.897,0.293,0.0,0.0,1146.0,10411.0,0.203,0.022,762.0,0.015,0.003,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-19,South Korea,KOR,"Feb 19, 2020",0,2020-02-19
KOR,Asia,South Korea,2020-02-20,80.0,34.0,0.0,0.0,1.56,0.663,0.0,0.0,1750.0,12161.0,0.237,0.034,909.0,0.018,0.008,people tested,31.48,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-20,South Korea,KOR,"Feb 20, 2020",0,2020-02-20
KOR,Asia,South Korea,2020-02-21,155.0,75.0,1.0,1.0,3.023,1.463,0.02,0.02,2655.0,14816.0,0.289,0.052,1137.0,0.022,0.016,people tested,45.37,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-21,South Korea,KOR,"Feb 21, 2020",0,2020-02-21
KOR,Asia,South Korea,2020-02-22,345.0,190.0,2.0,1.0,6.729,3.706,0.039,0.02,4805.0,19621.0,0.383,0.094,1729.0,0.034,0.026000000000000002,people tested,45.37,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-22,South Korea,KOR,"Feb 22, 2020",0,2020-02-22
KOR,Asia,South Korea,2020-02-23,601.0,256.0,5.0,3.0,11.722,4.993,0.098,0.059,3012.0,22633.0,0.441,0.059,2102.0,0.041,0.039,people tested,50.0,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-23,South Korea,KOR,"Feb 23, 2020",1,2020-02-23
KOR,Asia,South Korea,2020-02-24,762.0,161.0,7.0,2.0,14.863,3.14,0.137,0.039,5982.0,28615.0,0.558,0.117,2921.0,0.057,0.036000000000000004,people tested,55.56,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-24,South Korea,KOR,"Feb 24, 2020",1,2020-02-24
KOR,Asia,South Korea,2020-02-25,892.0,130.0,8.0,1.0,17.398,2.536,0.156,0.02,8101.0,36716.0,0.716,0.158,3922.0,0.076,0.031,people tested,55.56,51269183.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,83.03,2020-02-25,South Korea,KOR,"Feb 25, 2020",1,2020-02-25
