iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
THA,Asia,Thailand,2020-03-11,59.0,9.0,1.0,0.0,0.845,0.129,0.014,0.0,384.0,5232.0,0.075,0.006,191.0,0.003,0.012,people tested,25.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,77.15,2020-03-11,Thailand,THA,"Mar 11, 2020",0,2020-03-11
THA,Asia,Thailand,2020-03-12,70.0,11.0,1.0,0.0,1.003,0.158,0.014,0.0,264.0,5496.0,0.079,0.004,210.0,0.003,0.016,people tested,25.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,77.15,2020-03-12,Thailand,THA,"Mar 12, 2020",0,2020-03-12
THA,Asia,Thailand,2020-03-16,114.0,32.0,1.0,0.0,1.633,0.458,0.014,0.0,500.0,7045.0,0.101,0.007,338.0,0.005,0.027000000000000003,people tested,33.8,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,77.15,2020-03-16,Thailand,THA,"Mar 16, 2020",0,2020-03-16
THA,Asia,Thailand,2020-03-19,177.0,0.0,1.0,0.0,2.536,0.0,0.014,0.0,572.0,8729.0,0.125,0.008,462.0,0.007,0.033,people tested,48.61,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,77.15,2020-03-19,Thailand,THA,"Mar 19, 2020",0,2020-03-19
THA,Asia,Thailand,2020-03-20,212.0,35.0,1.0,0.0,3.037,0.501,0.014,0.0,941.0,9670.0,0.139,0.013,565.0,0.008,0.036000000000000004,people tested,48.61,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,77.15,2020-03-20,Thailand,THA,"Mar 20, 2020",0,2020-03-20
THA,Asia,Thailand,2020-03-21,366.0,154.0,1.0,0.0,5.244,2.206,0.014,0.0,673.0,10343.0,0.148,0.01,602.0,0.009,0.067,people tested,52.31,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,77.15,2020-03-21,Thailand,THA,"Mar 21, 2020",1,2020-03-21
THA,Asia,Thailand,2020-03-22,599.0,233.0,1.0,0.0,8.582,3.338,0.014,0.0,582.0,10925.0,0.157,0.008,626.0,0.009,0.11800000000000001,people tested,52.31,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,77.15,2020-03-22,Thailand,THA,"Mar 22, 2020",1,2020-03-22
THA,Asia,Thailand,2020-03-23,721.0,122.0,1.0,0.0,10.33,1.748,0.014,0.0,882.0,11807.0,0.169,0.013,680.0,0.01,0.128,people tested,52.31,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,77.15,2020-03-23,Thailand,THA,"Mar 23, 2020",1,2020-03-23
THA,Asia,Thailand,2020-03-24,827.0,106.0,4.0,3.0,11.848,1.519,0.057,0.043,1220.0,13027.0,0.187,0.017,775.0,0.011,0.12,people tested,52.31,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,77.15,2020-03-24,Thailand,THA,"Mar 24, 2020",1,2020-03-24
THA,Asia,Thailand,2020-03-25,934.0,107.0,4.0,0.0,13.381,1.533,0.057,0.0,995.0,14022.0,0.201,0.014,838.0,0.012,0.129,people tested,63.43,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,77.15,2020-03-25,Thailand,THA,"Mar 25, 2020",1,2020-03-25
THA,Asia,Thailand,2020-03-26,1045.0,111.0,4.0,0.0,14.971,1.59,0.057,0.0,1270.0,15292.0,0.219,0.018,938.0,0.013,0.132,people tested,68.06,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,77.15,2020-03-26,Thailand,THA,"Mar 26, 2020",1,2020-03-26
THA,Asia,Thailand,2020-03-27,1136.0,91.0,5.0,1.0,16.275,1.304,0.072,0.014,1181.0,16473.0,0.236,0.017,972.0,0.014,0.136,people tested,68.06,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,77.15,2020-03-27,Thailand,THA,"Mar 27, 2020",1,2020-03-27
THA,Asia,Thailand,2020-03-28,1136.0,0.0,5.0,0.0,16.275,0.0,0.072,0.0,667.0,17140.0,0.246,0.01,971.0,0.014,0.113,people tested,68.06,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,77.15,2020-03-28,Thailand,THA,"Mar 28, 2020",1,2020-03-28
