iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
TGO,Africa,Togo,2020-03-16,1.0,0.0,0.0,0.0,0.121,0.0,0.0,0.0,3.0,22.0,0.003,0.0,2.0,0.0,0.0,tests performed,22.22,8278737.0,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,0.9,14.2,61.04,2020-03-16,Togo,TGO,"Mar 16, 2020",0,2020-03-16
TGO,Africa,Togo,2020-03-17,1.0,0.0,0.0,0.0,0.121,0.0,0.0,0.0,12.0,34.0,0.004,0.001,3.0,0.0,0.0,tests performed,22.22,8278737.0,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,0.9,14.2,61.04,2020-03-17,Togo,TGO,"Mar 17, 2020",0,2020-03-17
TGO,Africa,Togo,2020-03-18,1.0,0.0,0.0,0.0,0.121,0.0,0.0,0.0,20.0,54.0,0.007,0.002,6.0,0.001,0.0,tests performed,22.22,8278737.0,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,0.9,14.2,61.04,2020-03-18,Togo,TGO,"Mar 18, 2020",0,2020-03-18
TGO,Africa,Togo,2020-03-19,1.0,0.0,0.0,0.0,0.121,0.0,0.0,0.0,30.0,84.0,0.01,0.004,10.0,0.001,0.0,tests performed,27.78,8278737.0,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,0.9,14.2,61.04,2020-03-19,Togo,TGO,"Mar 19, 2020",0,2020-03-19
TGO,Africa,Togo,2020-03-20,1.0,0.0,0.0,0.0,0.121,0.0,0.0,0.0,21.0,105.0,0.013,0.003,12.0,0.001,0.0,tests performed,61.11,8278737.0,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,0.9,14.2,61.04,2020-03-20,Togo,TGO,"Mar 20, 2020",1,2020-03-20
TGO,Africa,Togo,2020-03-21,9.0,8.0,0.0,0.0,1.087,0.966,0.0,0.0,25.0,130.0,0.016,0.003,16.0,0.002,0.071,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,0.9,14.2,61.04,2020-03-21,Togo,TGO,"Mar 21, 2020",1,2020-03-21
TGO,Africa,Togo,2020-03-22,15.0,6.0,0.0,0.0,1.812,0.725,0.0,0.0,15.0,145.0,0.018,0.002,18.0,0.002,0.111,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,0.9,14.2,61.04,2020-03-22,Togo,TGO,"Mar 22, 2020",1,2020-03-22
TGO,Africa,Togo,2020-03-23,15.0,0.0,0.0,0.0,1.812,0.0,0.0,0.0,30.0,175.0,0.021,0.004,22.0,0.003,0.091,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,0.9,14.2,61.04,2020-03-23,Togo,TGO,"Mar 23, 2020",1,2020-03-23
TGO,Africa,Togo,2020-03-24,18.0,3.0,0.0,0.0,2.174,0.362,0.0,0.0,33.0,208.0,0.025,0.004,25.0,0.003,0.09699999999999999,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,0.9,14.2,61.04,2020-03-24,Togo,TGO,"Mar 24, 2020",1,2020-03-24
TGO,Africa,Togo,2020-03-25,18.0,0.0,0.0,0.0,2.174,0.0,0.0,0.0,40.0,248.0,0.03,0.005,28.0,0.003,0.087,tests performed,69.44,8278737.0,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,0.9,14.2,61.04,2020-03-25,Togo,TGO,"Mar 25, 2020",1,2020-03-25
