iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
TUN,Africa,Tunisia,2020-03-17,20.0,2.0,0.0,0.0,1.692,0.169,0.0,0.0,70.0,449.0,0.038,0.006,60.0,0.005,0.043,tests performed,38.89,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-17,Tunisia,TUN,"Mar 17, 2020",0,2020-03-17
TUN,Africa,Tunisia,2020-03-18,24.0,4.0,0.0,0.0,2.031,0.338,0.0,0.0,86.0,535.0,0.045,0.007,62.0,0.005,0.044000000000000004,tests performed,48.15,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-18,Tunisia,TUN,"Mar 18, 2020",0,2020-03-18
TUN,Africa,Tunisia,2020-03-19,29.0,5.0,0.0,0.0,2.454,0.423,0.0,0.0,79.0,614.0,0.052,0.007,68.0,0.006,0.046,tests performed,48.15,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-19,Tunisia,TUN,"Mar 19, 2020",0,2020-03-19
TUN,Africa,Tunisia,2020-03-20,39.0,10.0,0.0,0.0,3.3,0.846,0.0,0.0,126.0,740.0,0.063,0.011,76.0,0.006,0.049,tests performed,77.78,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-20,Tunisia,TUN,"Mar 20, 2020",2,2020-03-20
TUN,Africa,Tunisia,2020-03-21,54.0,15.0,1.0,1.0,4.569,1.269,0.085,0.085,135.0,875.0,0.074,0.011,90.0,0.008,0.06,tests performed,77.78,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-21,Tunisia,TUN,"Mar 21, 2020",2,2020-03-21
TUN,Africa,Tunisia,2020-03-22,60.0,6.0,1.0,0.0,5.077,0.508,0.085,0.0,132.0,1007.0,0.085,0.011,99.0,0.008,0.063,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-22,Tunisia,TUN,"Mar 22, 2020",2,2020-03-22
TUN,Africa,Tunisia,2020-03-23,75.0,15.0,3.0,2.0,6.346,1.269,0.254,0.169,138.0,1145.0,0.097,0.012,109.0,0.009,0.075,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-23,Tunisia,TUN,"Mar 23, 2020",2,2020-03-23
TUN,Africa,Tunisia,2020-03-24,89.0,14.0,3.0,0.0,7.53,1.185,0.254,0.0,229.0,1374.0,0.116,0.019,132.0,0.011,0.075,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-24,Tunisia,TUN,"Mar 24, 2020",2,2020-03-24
TUN,Africa,Tunisia,2020-03-25,114.0,25.0,3.0,0.0,9.646,2.115,0.254,0.0,309.0,1683.0,0.142,0.026,164.0,0.014,0.078,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-25,Tunisia,TUN,"Mar 25, 2020",2,2020-03-25
TUN,Africa,Tunisia,2020-03-26,173.0,59.0,5.0,2.0,14.638,4.992,0.423,0.169,282.0,1965.0,0.166,0.024,193.0,0.016,0.107,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-26,Tunisia,TUN,"Mar 26, 2020",2,2020-03-26
TUN,Africa,Tunisia,2020-03-27,173.0,0.0,5.0,0.0,14.638,0.0,0.423,0.0,724.0,2689.0,0.228,0.061,278.0,0.024,0.069,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-27,Tunisia,TUN,"Mar 27, 2020",2,2020-03-27
TUN,Africa,Tunisia,2020-03-28,227.0,54.0,6.0,1.0,19.207,4.569,0.508,0.085,536.0,3225.0,0.273,0.045,336.0,0.028,0.07400000000000001,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-28,Tunisia,TUN,"Mar 28, 2020",2,2020-03-28
TUN,Africa,Tunisia,2020-03-29,227.0,0.0,6.0,0.0,19.207,0.0,0.508,0.0,447.0,3672.0,0.311,0.038,381.0,0.032,0.063,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-29,Tunisia,TUN,"Mar 29, 2020",2,2020-03-29
TUN,Africa,Tunisia,2020-03-30,278.0,51.0,8.0,2.0,23.522,4.315,0.677,0.169,442.0,4114.0,0.348,0.037,424.0,0.036,0.068,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-30,Tunisia,TUN,"Mar 30, 2020",2,2020-03-30
TUN,Africa,Tunisia,2020-03-31,312.0,34.0,8.0,0.0,26.399,2.877,0.677,0.0,550.0,4664.0,0.395,0.047,470.0,0.04,0.068,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-03-31,Tunisia,TUN,"Mar 31, 2020",2,2020-03-31
TUN,Africa,Tunisia,2020-04-01,362.0,50.0,9.0,1.0,30.63,4.231,0.762,0.085,674.0,5338.0,0.452,0.057,522.0,0.044,0.068,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-04-01,Tunisia,TUN,"Apr 1, 2020",2,2020-04-01
TUN,Africa,Tunisia,2020-04-02,394.0,32.0,10.0,1.0,33.337,2.708,0.846,0.085,606.0,5944.0,0.503,0.051,568.0,0.048,0.055999999999999994,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-04-02,Tunisia,TUN,"Apr 2, 2020",2,2020-04-02
TUN,Africa,Tunisia,2020-04-03,455.0,61.0,13.0,3.0,38.499,5.161,1.1,0.254,749.0,6693.0,0.566,0.063,572.0,0.048,0.07,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-04-03,Tunisia,TUN,"Apr 3, 2020",2,2020-04-03
TUN,Africa,Tunisia,2020-04-04,455.0,0.0,13.0,0.0,38.499,0.0,1.1,0.0,658.0,7351.0,0.622,0.056,589.0,0.05,0.055,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-04-04,Tunisia,TUN,"Apr 4, 2020",2,2020-04-04
TUN,Africa,Tunisia,2020-04-05,495.0,40.0,18.0,5.0,41.883,3.384,1.523,0.423,580.0,7931.0,0.671,0.049,608.0,0.051,0.063,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-04-05,Tunisia,TUN,"Apr 5, 2020",2,2020-04-05
TUN,Africa,Tunisia,2020-04-06,553.0,58.0,19.0,1.0,46.791,4.908,1.608,0.085,549.0,8480.0,0.718,0.046,624.0,0.053,0.063,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-04-06,Tunisia,TUN,"Apr 6, 2020",2,2020-04-06
TUN,Africa,Tunisia,2020-04-07,574.0,21.0,22.0,3.0,48.567,1.777,1.861,0.254,604.0,9084.0,0.769,0.051,631.0,0.053,0.059000000000000004,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-04-07,Tunisia,TUN,"Apr 7, 2020",2,2020-04-07
TUN,Africa,Tunisia,2020-04-08,596.0,22.0,22.0,0.0,50.429,1.861,1.861,0.0,692.0,9776.0,0.827,0.059,634.0,0.054,0.053,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-04-08,Tunisia,TUN,"Apr 8, 2020",2,2020-04-08
TUN,Africa,Tunisia,2020-04-09,623.0,27.0,23.0,1.0,52.713,2.285,1.946,0.085,571.0,10347.0,0.875,0.048,629.0,0.053,0.052000000000000005,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-04-09,Tunisia,TUN,"Apr 9, 2020",2,2020-04-09
TUN,Africa,Tunisia,2020-04-10,643.0,20.0,25.0,2.0,54.406,1.692,2.115,0.169,589.0,10936.0,0.925,0.05,606.0,0.051,0.044000000000000004,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-04-10,Tunisia,TUN,"Apr 10, 2020",2,2020-04-10
TUN,Africa,Tunisia,2020-04-11,671.0,28.0,25.0,0.0,56.775,2.369,2.115,0.0,562.0,11498.0,0.973,0.048,592.0,0.05,0.052000000000000005,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-04-11,Tunisia,TUN,"Apr 11, 2020",2,2020-04-11
TUN,Africa,Tunisia,2020-04-12,685.0,14.0,28.0,3.0,57.959,1.185,2.369,0.254,587.0,12085.0,1.023,0.05,593.0,0.05,0.046,tests performed,90.74,11818618.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,76.7,2020-04-12,Tunisia,TUN,"Apr 12, 2020",2,2020-04-12
