iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
UGA,Africa,Uganda,2020-04-08,52.0,0.0,0.0,0.0,1.137,0.0,0.0,0.0,214.0,3524.0,0.077,0.005,288.0,0.006,0.004,samples tested,93.52,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-04-08,Uganda,UGA,"Apr 8, 2020",2,2020-04-08
UGA,Africa,Uganda,2020-04-09,53.0,1.0,0.0,0.0,1.159,0.022,0.0,0.0,338.0,3862.0,0.084,0.007,289.0,0.006,0.004,samples tested,93.52,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-04-09,Uganda,UGA,"Apr 9, 2020",2,2020-04-09
UGA,Africa,Uganda,2020-04-10,53.0,0.0,0.0,0.0,1.159,0.0,0.0,0.0,439.0,4301.0,0.094,0.01,304.0,0.007,0.004,samples tested,93.52,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-04-10,Uganda,UGA,"Apr 10, 2020",2,2020-04-10
UGA,Africa,Uganda,2020-04-12,53.0,0.0,0.0,0.0,1.159,0.0,0.0,0.0,169.0,5025.0,0.11,0.004,314.0,0.007,0.002,samples tested,93.52,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-04-12,Uganda,UGA,"Apr 12, 2020",2,2020-04-12
UGA,Africa,Uganda,2020-04-13,54.0,1.0,0.0,0.0,1.181,0.022,0.0,0.0,639.0,5664.0,0.124,0.014,358.0,0.008,0.001,samples tested,93.52,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-04-13,Uganda,UGA,"Apr 13, 2020",2,2020-04-13
UGA,Africa,Uganda,2020-04-14,54.0,0.0,0.0,0.0,1.181,0.0,0.0,0.0,625.0,6661.0,0.146,0.014,479.0,0.01,0.001,samples tested,93.52,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-04-14,Uganda,UGA,"Apr 14, 2020",2,2020-04-14
UGA,Africa,Uganda,2020-07-07,953.0,14.0,0.0,0.0,20.835,0.306,0.0,0.0,3451.0,216311.0,4.729,0.075,3063.0,0.067,0.004,samples tested,87.04,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-07-07,Uganda,UGA,"Jul 7, 2020",2,2020-07-07
UGA,Africa,Uganda,2020-07-08,971.0,18.0,0.0,0.0,21.228,0.394,0.0,0.0,3316.0,219627.0,4.802,0.072,3157.0,0.069,0.004,samples tested,87.04,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-07-08,Uganda,UGA,"Jul 8, 2020",2,2020-07-08
UGA,Africa,Uganda,2020-07-09,977.0,6.0,0.0,0.0,21.359,0.131,0.0,0.0,2048.0,221675.0,4.846,0.045,3071.0,0.067,0.004,samples tested,87.04,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-07-09,Uganda,UGA,"Jul 9, 2020",2,2020-07-09
UGA,Africa,Uganda,2020-07-12,1013.0,7.0,0.0,0.0,22.146,0.153,0.0,0.0,1702.0,228105.0,4.987,0.037,2523.0,0.055,0.005,samples tested,81.48,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-07-12,Uganda,UGA,"Jul 12, 2020",2,2020-07-12
UGA,Africa,Uganda,2020-07-13,1025.0,12.0,0.0,0.0,22.409,0.262,0.0,0.0,2575.0,230680.0,5.043,0.056,2546.0,0.056,0.005,samples tested,81.48,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-07-13,Uganda,UGA,"Jul 13, 2020",2,2020-07-13
UGA,Africa,Uganda,2020-07-15,1040.0,11.0,0.0,0.0,22.737,0.24,0.0,0.0,2405.0,235015.0,5.138,0.053,2198.0,0.048,0.004,samples tested,81.48,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-07-15,Uganda,UGA,"Jul 15, 2020",2,2020-07-15
UGA,Africa,Uganda,2020-07-16,1043.0,3.0,0.0,0.0,22.802,0.066,0.0,0.0,3696.0,238709.0,5.219,0.081,2433.0,0.053,0.004,samples tested,81.48,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-07-16,Uganda,UGA,"Jul 16, 2020",2,2020-07-16
UGA,Africa,Uganda,2020-07-19,1062.0,6.0,0.0,0.0,23.218,0.131,0.0,0.0,2196.0,247646.0,5.414,0.048,2792.0,0.061,0.003,samples tested,79.63,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-07-19,Uganda,UGA,"Jul 19, 2020",2,2020-07-19
UGA,Africa,Uganda,2020-07-20,1065.0,3.0,0.0,0.0,23.283,0.066,0.0,0.0,2383.0,250029.0,5.466,0.052,2764.0,0.06,0.002,samples tested,79.63,45741000.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,63.37,2020-07-20,Uganda,UGA,"Jul 20, 2020",2,2020-07-20
