iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
UKR,Europe,Ukraine,2020-04-17,4161.0,397.0,116.0,8.0,95.144,9.078,2.652,0.183,4273.0,47096.0,1.077,0.098,3368.0,0.077,0.096,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-04-17,Ukraine,UKR,"Apr 17, 2020",2,2020-04-17
UKR,Europe,Ukraine,2020-04-27,8617.0,492.0,209.0,8.0,197.033,11.25,4.779,0.183,4146.0,93519.0,2.138,0.095,4659.0,0.107,0.09699999999999999,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-04-27,Ukraine,UKR,"Apr 27, 2020",2,2020-04-27
UKR,Europe,Ukraine,2020-04-28,9009.0,392.0,220.0,11.0,205.996,8.963,5.03,0.252,5200.0,98719.0,2.257,0.119,4859.0,0.111,0.09699999999999999,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-04-28,Ukraine,UKR,"Apr 28, 2020",2,2020-04-28
UKR,Europe,Ukraine,2020-04-29,9410.0,401.0,239.0,19.0,215.166,9.169,5.465,0.434,5825.0,104544.0,2.39,0.133,5149.0,0.118,0.091,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-04-29,Ukraine,UKR,"Apr 29, 2020",2,2020-04-29
UKR,Europe,Ukraine,2020-04-30,9866.0,456.0,250.0,11.0,225.592,10.427,5.716,0.252,7315.0,111859.0,2.558,0.167,5652.0,0.129,0.083,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-04-30,Ukraine,UKR,"Apr 30, 2020",2,2020-04-30
UKR,Europe,Ukraine,2020-05-01,10406.0,540.0,261.0,11.0,237.94,12.347,5.968,0.252,6686.0,118545.0,2.711,0.153,5794.0,0.132,0.08,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-05-01,Ukraine,UKR,"May 1, 2020",2,2020-05-01
UKR,Europe,Ukraine,2020-05-02,10861.0,455.0,272.0,11.0,248.344,10.404,6.219,0.252,4207.0,122752.0,2.807,0.096,5582.0,0.128,0.08199999999999999,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-05-02,Ukraine,UKR,"May 2, 2020",2,2020-05-02
UKR,Europe,Ukraine,2020-05-03,11411.0,550.0,279.0,7.0,260.92,12.576,6.38,0.16,6971.0,129723.0,2.966,0.159,5764.0,0.132,0.081,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-05-03,Ukraine,UKR,"May 3, 2020",2,2020-05-03
UKR,Europe,Ukraine,2020-05-04,11913.0,502.0,288.0,9.0,272.398,11.479,6.585,0.206,4869.0,134592.0,3.078,0.111,5868.0,0.134,0.08,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-05-04,Ukraine,UKR,"May 4, 2020",2,2020-05-04
UKR,Europe,Ukraine,2020-05-05,12331.0,418.0,303.0,15.0,281.956,9.558,6.928,0.343,5167.0,139759.0,3.196,0.118,5863.0,0.134,0.081,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-05-05,Ukraine,UKR,"May 5, 2020",2,2020-05-05
UKR,Europe,Ukraine,2020-05-06,12697.0,366.0,316.0,13.0,290.325,8.369,7.226,0.297,4524.0,144283.0,3.299,0.103,5677.0,0.13,0.083,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-05-06,Ukraine,UKR,"May 6, 2020",2,2020-05-06
UKR,Europe,Ukraine,2020-05-07,13184.0,487.0,327.0,11.0,301.46,11.136,7.477,0.252,7286.0,151569.0,3.466,0.167,5673.0,0.13,0.084,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-05-07,Ukraine,UKR,"May 7, 2020",2,2020-05-07
UKR,Europe,Ukraine,2020-05-08,13691.0,507.0,340.0,13.0,313.053,11.593,7.774,0.297,7586.0,159155.0,3.639,0.173,5801.0,0.133,0.081,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-05-08,Ukraine,UKR,"May 8, 2020",2,2020-05-08
UKR,Europe,Ukraine,2020-05-09,14195.0,504.0,361.0,21.0,324.578,11.524,8.254,0.48,7952.0,167107.0,3.821,0.182,6336.0,0.145,0.075,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-05-09,Ukraine,UKR,"May 9, 2020",2,2020-05-09
UKR,Europe,Ukraine,2020-05-10,14710.0,515.0,376.0,15.0,336.353,11.776,8.597,0.343,9296.0,176403.0,4.034,0.213,6669.0,0.152,0.071,units unclear,92.59,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,72.06,2020-05-10,Ukraine,UKR,"May 10, 2020",2,2020-05-10
