iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
ARE,Asia,United Arab Emirates,2020-02-08,7.0,2.0,0.0,0.0,0.708,0.202,0.0,0.0,574.0,832.0,0.084,0.058,82.0,0.008,0.005,samples tested,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,1.2,37.4,77.97,2020-02-08,United Arab Emirates,ARE,"Feb 8, 2020",0,2020-02-08
ARE,Asia,United Arab Emirates,2020-02-09,7.0,0.0,0.0,0.0,0.708,0.0,0.0,0.0,1360.0,2192.0,0.222,0.138,265.0,0.027,0.001,samples tested,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,1.2,37.4,77.97,2020-02-09,United Arab Emirates,ARE,"Feb 9, 2020",0,2020-02-09
ARE,Asia,United Arab Emirates,2020-02-10,7.0,0.0,0.0,0.0,0.708,0.0,0.0,0.0,437.0,2629.0,0.266,0.044,315.0,0.032,0.001,samples tested,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,1.2,37.4,77.97,2020-02-10,United Arab Emirates,ARE,"Feb 10, 2020",0,2020-02-10
ARE,Asia,United Arab Emirates,2020-02-14,8.0,0.0,0.0,0.0,0.809,0.0,0.0,0.0,306.0,2935.0,0.297,0.031,312.0,0.032,0.001,samples tested,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,1.2,37.4,77.97,2020-02-14,United Arab Emirates,ARE,"Feb 14, 2020",0,2020-02-14
ARE,Asia,United Arab Emirates,2020-02-16,8.0,0.0,0.0,0.0,0.809,0.0,0.0,0.0,2107.0,5042.0,0.51,0.213,407.0,0.041,0.0,samples tested,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,1.2,37.4,77.97,2020-02-16,United Arab Emirates,ARE,"Feb 16, 2020",0,2020-02-16
ARE,Asia,United Arab Emirates,2020-02-18,9.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,1651.0,6693.0,0.677,0.167,570.0,0.058,0.0,samples tested,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,1.2,37.4,77.97,2020-02-18,United Arab Emirates,ARE,"Feb 18, 2020",0,2020-02-18
ARE,Asia,United Arab Emirates,2020-02-21,9.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,2201.0,8894.0,0.899,0.223,851.0,0.086,0.0,samples tested,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,1.2,37.4,77.97,2020-02-21,United Arab Emirates,ARE,"Feb 21, 2020",0,2020-02-21
ARE,Asia,United Arab Emirates,2020-02-22,11.0,2.0,0.0,0.0,1.112,0.202,0.0,0.0,4096.0,12990.0,1.313,0.414,1286.0,0.13,0.0,samples tested,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,1.2,37.4,77.97,2020-02-22,United Arab Emirates,ARE,"Feb 22, 2020",0,2020-02-22
ARE,Asia,United Arab Emirates,2020-02-27,13.0,0.0,0.0,0.0,1.314,0.0,0.0,0.0,1325.0,14315.0,1.447,0.134,879.0,0.089,0.001,samples tested,8.33,9890400.0,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,1.2,37.4,77.97,2020-02-27,United Arab Emirates,ARE,"Feb 27, 2020",0,2020-02-27
ARE,Asia,United Arab Emirates,2020-02-28,19.0,6.0,0.0,0.0,1.921,0.607,0.0,0.0,8606.0,22921.0,2.317,0.87,2004.0,0.203,0.001,samples tested,8.33,9890400.0,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,1.2,37.4,77.97,2020-02-28,United Arab Emirates,ARE,"Feb 28, 2020",0,2020-02-28
ARE,Asia,United Arab Emirates,2020-03-04,27.0,6.0,0.0,0.0,2.73,0.607,0.0,0.0,12724.0,37758.0,3.818,1.287,3387.0,0.342,0.001,samples tested,15.74,9890400.0,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,1.2,37.4,77.97,2020-03-04,United Arab Emirates,ARE,"Mar 4, 2020",0,2020-03-04
