iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
GBR,Europe,United Kingdom,2020-04-07,60772.0,3592.0,6434.0,568.0,895.207,52.912,94.777,8.367,14419.0,280304.0,4.129,0.212,17876.0,0.263,0.248,tests performed,75.93,67886004.0,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,20.0,24.7,81.32,2020-04-07,United Kingdom,GBR,"Apr 7, 2020",2,2020-04-07
GBR,Europe,United Kingdom,2020-04-08,66054.0,5282.0,7472.0,1038.0,973.014,77.807,110.067,15.29,16443.0,296747.0,4.371,0.242,18521.0,0.273,0.248,tests performed,75.93,67886004.0,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,20.0,24.7,81.32,2020-04-08,United Kingdom,GBR,"Apr 8, 2020",2,2020-04-08
GBR,Europe,United Kingdom,2020-04-09,71504.0,5450.0,8506.0,1034.0,1053.295,80.282,125.298,15.231,18843.0,315141.0,4.642,0.278,19013.0,0.28,0.248,tests performed,75.93,67886004.0,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,20.0,24.7,81.32,2020-04-09,United Kingdom,GBR,"Apr 9, 2020",2,2020-04-09
GBR,Europe,United Kingdom,2020-04-10,76635.0,5131.0,9616.0,1110.0,1128.878,75.583,141.649,16.351,17737.0,332925.0,4.904,0.261,15713.0,0.231,0.302,tests performed,75.93,67886004.0,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,20.0,24.7,81.32,2020-04-10,United Kingdom,GBR,"Apr 10, 2020",2,2020-04-10
GBR,Europe,United Kingdom,2020-04-11,81493.0,4858.0,10768.0,1152.0,1200.439,71.561,158.619,16.97,17650.0,350575.0,5.164,0.26,15963.0,0.235,0.298,tests performed,75.93,67886004.0,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,20.0,24.7,81.32,2020-04-11,United Kingdom,GBR,"Apr 11, 2020",2,2020-04-11
GBR,Europe,United Kingdom,2020-04-12,85806.0,4313.0,11608.0,840.0,1263.972,63.533,170.993,12.374,14506.0,365081.0,5.378,0.214,16216.0,0.239,0.28800000000000003,tests performed,75.93,67886004.0,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,20.0,24.7,81.32,2020-04-12,United Kingdom,GBR,"Apr 12, 2020",2,2020-04-12
GBR,Europe,United Kingdom,2020-04-13,89385.0,3579.0,12294.0,686.0,1316.693,52.721,181.098,10.105,14567.0,379649.0,5.592,0.215,16252.0,0.239,0.28300000000000003,tests performed,75.93,67886004.0,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,20.0,24.7,81.32,2020-04-13,United Kingdom,GBR,"Apr 13, 2020",2,2020-04-13
GBR,Europe,United Kingdom,2020-04-14,92874.0,3489.0,13038.0,744.0,1368.088,51.395,192.057,10.96,15991.0,395912.0,5.832,0.236,16515.0,0.243,0.278,tests performed,75.93,67886004.0,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,20.0,24.7,81.32,2020-04-14,United Kingdom,GBR,"Apr 14, 2020",2,2020-04-14
GBR,Europe,United Kingdom,2020-04-15,97052.0,4178.0,14085.0,1047.0,1429.632,61.544,207.48,15.423,18489.0,414469.0,6.105,0.272,16817.0,0.248,0.263,tests performed,75.93,67886004.0,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,20.0,24.7,81.32,2020-04-15,United Kingdom,GBR,"Apr 15, 2020",2,2020-04-15
GBR,Europe,United Kingdom,2020-04-16,101378.0,4326.0,14927.0,842.0,1493.356,63.724,219.883,12.403,20906.0,435389.0,6.414,0.308,17178.0,0.253,0.248,tests performed,75.93,67886004.0,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,20.0,24.7,81.32,2020-04-16,United Kingdom,GBR,"Apr 16, 2020",2,2020-04-16
