iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
VNM,Asia,Vietnam,2020-03-12,39.0,1.0,0.0,0.0,0.401,0.01,0.0,0.0,117.0,4588.0,0.047,0.001,381.0,0.004,0.009000000000000001,units unclear,47.22,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-03-12,Vietnam,VNM,"Mar 12, 2020",0,2020-03-12
VNM,Asia,Vietnam,2020-03-13,44.0,5.0,0.0,0.0,0.452,0.051,0.0,0.0,201.0,4789.0,0.049,0.002,397.0,0.004,0.01,units unclear,47.22,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-03-13,Vietnam,VNM,"Mar 13, 2020",0,2020-03-13
VNM,Asia,Vietnam,2020-03-14,53.0,9.0,0.0,0.0,0.544,0.092,0.0,0.0,446.0,5235.0,0.054,0.005,433.0,0.004,0.012,units unclear,47.22,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-03-14,Vietnam,VNM,"Mar 14, 2020",0,2020-03-14
VNM,Asia,Vietnam,2020-03-15,53.0,0.0,0.0,0.0,0.544,0.0,0.0,0.0,2280.0,7515.0,0.077,0.023,731.0,0.008,0.006,units unclear,47.22,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-03-15,Vietnam,VNM,"Mar 15, 2020",0,2020-03-15
VNM,Asia,Vietnam,2020-03-16,57.0,4.0,0.0,0.0,0.586,0.041,0.0,0.0,7.0,7522.0,0.077,0.0,705.0,0.007,0.005,units unclear,47.22,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-03-16,Vietnam,VNM,"Mar 16, 2020",0,2020-03-16
VNM,Asia,Vietnam,2020-03-17,61.0,4.0,0.0,0.0,0.627,0.041,0.0,0.0,2174.0,9696.0,0.1,0.022,881.0,0.009,0.004,units unclear,47.22,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-03-17,Vietnam,VNM,"Mar 17, 2020",0,2020-03-17
VNM,Asia,Vietnam,2020-03-18,68.0,7.0,0.0,0.0,0.699,0.072,0.0,0.0,5254.0,14950.0,0.154,0.054,1497.0,0.015,0.003,units unclear,47.22,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-03-18,Vietnam,VNM,"Mar 18, 2020",0,2020-03-18
VNM,Asia,Vietnam,2020-03-25,137.0,5.0,0.0,0.0,1.407,0.051,0.0,0.0,6237.0,30548.0,0.314,0.064,2228.0,0.023,0.004,units unclear,55.56,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-03-25,Vietnam,VNM,"Mar 25, 2020",0,2020-03-25
VNM,Asia,Vietnam,2020-03-26,153.0,16.0,0.0,0.0,1.572,0.164,0.0,0.0,1333.0,31881.0,0.328,0.014,2370.0,0.024,0.005,units unclear,61.11,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-03-26,Vietnam,VNM,"Mar 26, 2020",0,2020-03-26
VNM,Asia,Vietnam,2020-03-27,163.0,10.0,0.0,0.0,1.675,0.103,0.0,0.0,3927.0,35808.0,0.368,0.04,2882.0,0.03,0.004,units unclear,66.67,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-03-27,Vietnam,VNM,"Mar 27, 2020",0,2020-03-27
VNM,Asia,Vietnam,2020-04-02,233.0,21.0,0.0,0.0,2.394,0.216,0.0,0.0,5708.0,73164.0,0.752,0.059,5898.0,0.061,0.002,units unclear,96.3,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-04-02,Vietnam,VNM,"Apr 2, 2020",2,2020-04-02
VNM,Asia,Vietnam,2020-04-03,236.0,3.0,0.0,0.0,2.425,0.031,0.0,0.0,2294.0,75458.0,0.775,0.024,5664.0,0.058,0.002,units unclear,96.3,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-04-03,Vietnam,VNM,"Apr 3, 2020",2,2020-04-03
VNM,Asia,Vietnam,2020-04-07,251.0,6.0,0.0,0.0,2.579,0.062,0.0,0.0,12294.0,106599.0,1.095,0.126,6496.0,0.067,0.001,units unclear,96.3,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-04-07,Vietnam,VNM,"Apr 7, 2020",2,2020-04-07
VNM,Asia,Vietnam,2020-04-08,251.0,0.0,0.0,0.0,2.579,0.0,0.0,0.0,3525.0,110124.0,1.131,0.036,6095.0,0.063,0.001,units unclear,96.3,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-04-08,Vietnam,VNM,"Apr 8, 2020",2,2020-04-08
VNM,Asia,Vietnam,2020-04-09,255.0,4.0,0.0,0.0,2.62,0.041,0.0,0.0,4117.0,114241.0,1.174,0.042,5868.0,0.06,0.001,units unclear,96.3,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-04-09,Vietnam,VNM,"Apr 9, 2020",2,2020-04-09
VNM,Asia,Vietnam,2020-04-10,257.0,2.0,0.0,0.0,2.64,0.021,0.0,0.0,4566.0,118807.0,1.221,0.047,6193.0,0.064,0.0,units unclear,96.3,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-04-10,Vietnam,VNM,"Apr 10, 2020",2,2020-04-10
VNM,Asia,Vietnam,2020-04-11,258.0,1.0,0.0,0.0,2.651,0.01,0.0,0.0,3014.0,121821.0,1.252,0.031,5726.0,0.059,0.0,units unclear,96.3,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-04-11,Vietnam,VNM,"Apr 11, 2020",2,2020-04-11
VNM,Asia,Vietnam,2020-04-15,268.0,1.0,0.0,0.0,2.753,0.01,0.0,0.0,3167.0,135938.0,1.397,0.033,3688.0,0.038,0.001,units unclear,86.57,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-04-15,Vietnam,VNM,"Apr 15, 2020",2,2020-04-15
VNM,Asia,Vietnam,2020-04-26,270.0,0.0,0.0,0.0,2.774,0.0,0.0,0.0,823.0,212965.0,2.188,0.008,7084.0,0.073,0.0,units unclear,75.0,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,75.4,2020-04-26,Vietnam,VNM,"Apr 26, 2020",0,2020-04-26
