iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out
ZWE,Africa,Zimbabwe,2020-05-13,37.0,0.0,4.0,0.0,2.489,0.0,0.269,0.0,133.0,11191.0,0.753,0.009,483.0,0.032,0.001,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-13,Zimbabwe,ZWE,"May 13, 2020",2,2020-05-13
ZWE,Africa,Zimbabwe,2020-05-16,42.0,5.0,4.0,0.0,2.826,0.336,0.269,0.0,874.0,12275.0,0.826,0.059,383.0,0.026,0.003,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-16,Zimbabwe,ZWE,"May 16, 2020",2,2020-05-16
ZWE,Africa,Zimbabwe,2020-05-17,44.0,2.0,4.0,0.0,2.96,0.135,0.269,0.0,289.0,12564.0,0.845,0.019,385.0,0.026,0.003,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-17,Zimbabwe,ZWE,"May 17, 2020",2,2020-05-17
ZWE,Africa,Zimbabwe,2020-05-18,46.0,2.0,4.0,0.0,3.095,0.135,0.269,0.0,540.0,13104.0,0.882,0.036,358.0,0.024,0.004,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-18,Zimbabwe,ZWE,"May 18, 2020",2,2020-05-18
ZWE,Africa,Zimbabwe,2020-05-19,46.0,0.0,4.0,0.0,3.095,0.0,0.269,0.0,1071.0,14175.0,0.954,0.072,445.0,0.03,0.003,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-19,Zimbabwe,ZWE,"May 19, 2020",2,2020-05-19
ZWE,Africa,Zimbabwe,2020-05-20,46.0,0.0,4.0,0.0,3.095,0.0,0.269,0.0,443.0,14618.0,0.984,0.03,490.0,0.033,0.003,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-20,Zimbabwe,ZWE,"May 20, 2020",2,2020-05-20
ZWE,Africa,Zimbabwe,2020-05-21,48.0,2.0,4.0,0.0,3.23,0.135,0.269,0.0,466.0,15084.0,1.015,0.031,541.0,0.036,0.003,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-21,Zimbabwe,ZWE,"May 21, 2020",2,2020-05-21
ZWE,Africa,Zimbabwe,2020-05-22,51.0,3.0,4.0,0.0,3.431,0.202,0.269,0.0,110.0,15194.0,1.022,0.007,542.0,0.036,0.004,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-22,Zimbabwe,ZWE,"May 22, 2020",2,2020-05-22
ZWE,Africa,Zimbabwe,2020-05-23,56.0,5.0,4.0,0.0,3.768,0.336,0.269,0.0,142.0,15336.0,1.032,0.01,437.0,0.029,0.005,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-23,Zimbabwe,ZWE,"May 23, 2020",2,2020-05-23
ZWE,Africa,Zimbabwe,2020-05-24,56.0,0.0,4.0,0.0,3.768,0.0,0.269,0.0,219.0,15555.0,1.047,0.015,427.0,0.029,0.004,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-24,Zimbabwe,ZWE,"May 24, 2020",2,2020-05-24
ZWE,Africa,Zimbabwe,2020-05-25,56.0,0.0,4.0,0.0,3.768,0.0,0.269,0.0,210.0,15765.0,1.061,0.014,380.0,0.026,0.004,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-25,Zimbabwe,ZWE,"May 25, 2020",2,2020-05-25
ZWE,Africa,Zimbabwe,2020-05-28,132.0,76.0,4.0,0.0,8.881,5.113,0.269,0.0,186.0,16440.0,1.106,0.013,194.0,0.013,0.062,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-28,Zimbabwe,ZWE,"May 28, 2020",2,2020-05-28
ZWE,Africa,Zimbabwe,2020-05-29,149.0,17.0,4.0,0.0,10.025,1.144,0.269,0.0,420.0,16860.0,1.134,0.028,238.0,0.016,0.059000000000000004,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-29,Zimbabwe,ZWE,"May 29, 2020",2,2020-05-29
ZWE,Africa,Zimbabwe,2020-05-30,160.0,11.0,4.0,0.0,10.765,0.74,0.269,0.0,666.0,17526.0,1.179,0.045,313.0,0.021,0.047,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-30,Zimbabwe,ZWE,"May 30, 2020",2,2020-05-30
ZWE,Africa,Zimbabwe,2020-05-31,174.0,14.0,4.0,0.0,11.707,0.942,0.269,0.0,546.0,18072.0,1.216,0.037,360.0,0.024,0.047,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-05-31,Zimbabwe,ZWE,"May 31, 2020",2,2020-05-31
ZWE,Africa,Zimbabwe,2020-06-01,178.0,4.0,4.0,0.0,11.976,0.269,0.269,0.0,637.0,18709.0,1.259,0.043,421.0,0.028,0.040999999999999995,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-01,Zimbabwe,ZWE,"Jun 1, 2020",2,2020-06-01
ZWE,Africa,Zimbabwe,2020-06-02,203.0,25.0,4.0,0.0,13.658,1.682,0.269,0.0,581.0,19290.0,1.298,0.039,469.0,0.032,0.045,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-02,Zimbabwe,ZWE,"Jun 2, 2020",2,2020-06-02
ZWE,Africa,Zimbabwe,2020-06-03,206.0,3.0,4.0,0.0,13.86,0.202,0.269,0.0,722.0,20012.0,1.346,0.049,537.0,0.036,0.04,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-03,Zimbabwe,ZWE,"Jun 3, 2020",2,2020-06-03
ZWE,Africa,Zimbabwe,2020-06-04,222.0,16.0,4.0,0.0,14.936,1.077,0.269,0.0,390.0,20402.0,1.373,0.026,566.0,0.038,0.023,tests performed,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-04,Zimbabwe,ZWE,"Jun 4, 2020",2,2020-06-04
ZWE,Africa,Zimbabwe,2020-06-05,237.0,15.0,4.0,0.0,15.946,1.009,0.269,0.0,598.0,21000.0,1.413,0.04,591.0,0.04,0.021,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-05,Zimbabwe,ZWE,"Jun 5, 2020",1,2020-06-05
ZWE,Africa,Zimbabwe,2020-06-06,265.0,28.0,4.0,0.0,17.83,1.884,0.269,0.0,354.0,21354.0,1.437,0.024,547.0,0.037,0.027000000000000003,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-06,Zimbabwe,ZWE,"Jun 6, 2020",1,2020-06-06
ZWE,Africa,Zimbabwe,2020-06-07,279.0,14.0,4.0,0.0,18.772,0.942,0.269,0.0,153.0,21507.0,1.447,0.01,491.0,0.033,0.031,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-07,Zimbabwe,ZWE,"Jun 7, 2020",1,2020-06-07
ZWE,Africa,Zimbabwe,2020-06-08,282.0,3.0,4.0,0.0,18.973,0.202,0.269,0.0,394.0,21901.0,1.474,0.027,456.0,0.031,0.033,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-08,Zimbabwe,ZWE,"Jun 8, 2020",1,2020-06-08
ZWE,Africa,Zimbabwe,2020-06-09,287.0,5.0,4.0,0.0,19.31,0.336,0.269,0.0,352.0,22253.0,1.497,0.024,423.0,0.028,0.027999999999999997,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-09,Zimbabwe,ZWE,"Jun 9, 2020",1,2020-06-09
ZWE,Africa,Zimbabwe,2020-06-10,314.0,27.0,4.0,0.0,21.126,1.817,0.269,0.0,552.0,22805.0,1.534,0.037,399.0,0.027,0.039,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-10,Zimbabwe,ZWE,"Jun 10, 2020",1,2020-06-10
ZWE,Africa,Zimbabwe,2020-06-11,320.0,6.0,4.0,0.0,21.53,0.404,0.269,0.0,267.0,23072.0,1.552,0.018,381.0,0.026,0.037000000000000005,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-11,Zimbabwe,ZWE,"Jun 11, 2020",1,2020-06-11
ZWE,Africa,Zimbabwe,2020-06-12,332.0,12.0,4.0,0.0,22.337,0.807,0.269,0.0,465.0,23537.0,1.584,0.031,362.0,0.024,0.037000000000000005,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-12,Zimbabwe,ZWE,"Jun 12, 2020",1,2020-06-12
ZWE,Africa,Zimbabwe,2020-06-13,343.0,11.0,4.0,0.0,23.078,0.74,0.269,0.0,473.0,24010.0,1.615,0.032,379.0,0.025,0.028999999999999998,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-13,Zimbabwe,ZWE,"Jun 13, 2020",1,2020-06-13
ZWE,Africa,Zimbabwe,2020-06-14,356.0,13.0,4.0,0.0,23.952,0.875,0.269,0.0,96.0,24106.0,1.622,0.006,371.0,0.025,0.03,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-14,Zimbabwe,ZWE,"Jun 14, 2020",1,2020-06-14
ZWE,Africa,Zimbabwe,2020-06-15,383.0,27.0,4.0,0.0,25.769,1.817,0.269,0.0,507.0,24613.0,1.656,0.034,387.0,0.026,0.037000000000000005,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-15,Zimbabwe,ZWE,"Jun 15, 2020",1,2020-06-15
ZWE,Africa,Zimbabwe,2020-06-16,387.0,4.0,4.0,0.0,26.038,0.269,0.269,0.0,251.0,24864.0,1.673,0.017,373.0,0.025,0.038,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-16,Zimbabwe,ZWE,"Jun 16, 2020",1,2020-06-16
ZWE,Africa,Zimbabwe,2020-06-17,394.0,7.0,4.0,0.0,26.509,0.471,0.269,0.0,427.0,25291.0,1.702,0.029,355.0,0.024,0.032,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-17,Zimbabwe,ZWE,"Jun 17, 2020",1,2020-06-17
ZWE,Africa,Zimbabwe,2020-06-18,401.0,7.0,4.0,0.0,26.98,0.471,0.269,0.0,524.0,25815.0,1.737,0.035,392.0,0.026,0.03,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-18,Zimbabwe,ZWE,"Jun 18, 2020",1,2020-06-18
ZWE,Africa,Zimbabwe,2020-06-19,463.0,62.0,4.0,0.0,31.151,4.171,0.269,0.0,302.0,26117.0,1.757,0.02,369.0,0.025,0.051,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-19,Zimbabwe,ZWE,"Jun 19, 2020",1,2020-06-19
ZWE,Africa,Zimbabwe,2020-06-20,479.0,16.0,4.0,0.0,32.228,1.077,0.269,0.0,334.0,26451.0,1.78,0.022,349.0,0.023,0.055999999999999994,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-20,Zimbabwe,ZWE,"Jun 20, 2020",1,2020-06-20
ZWE,Africa,Zimbabwe,2020-06-21,486.0,7.0,6.0,2.0,32.699,0.471,0.404,0.135,406.0,26857.0,1.807,0.027,393.0,0.026,0.047,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-21,Zimbabwe,ZWE,"Jun 21, 2020",1,2020-06-21
ZWE,Africa,Zimbabwe,2020-06-22,489.0,3.0,6.0,0.0,32.901,0.202,0.404,0.0,364.0,27221.0,1.831,0.024,373.0,0.025,0.040999999999999995,tests performed,70.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,61.49,2020-06-22,Zimbabwe,ZWE,"Jun 22, 2020",1,2020-06-22
