iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,DateTime_Out,Entity,Code,Right_Date,Stay at home requirements (OxBSG),Right_DateTime_Out,reference id
ARG,South America,Argentina,3/11/2020,19,7,1,0,0.42,0.155,0.022,0,30,158,0.003,0.001,17,0,0.151,people tested,25,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,3/11/2020,Argentina,ARG,11-Mar-20,0,3/11/2020,
ARG,South America,Argentina,3/13/2020,31,12,1,0,0.686,0.266,0.022,0,83,282,0.006,0.002,33,0.001,0.126,people tested,25,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,3/13/2020,Argentina,ARG,13-Mar-20,0,3/13/2020,
ARG,South America,Argentina,3/14/2020,34,3,2,1,0.752,0.066,0.044,0.022,49,331,0.007,0.001,38,0.001,0.098,people tested,25,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,3/14/2020,Argentina,ARG,14-Mar-20,0,3/14/2020,
ARG,South America,Argentina,3/15/2020,45,11,2,0,0.996,0.243,0.044,0,79,410,0.009,0.002,46,0.001,0.112,people tested,25,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,3/15/2020,Argentina,ARG,15-Mar-20,0,3/15/2020,
ARG,South America,Argentina,3/16/2020,56,11,2,0,1.239,0.243,0.044,0,100,510,0.011,0.002,59,0.001,0.107,people tested,41.67,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,3/16/2020,Argentina,ARG,16-Mar-20,0,3/16/2020,
ARG,South America,Argentina,3/17/2020,65,9,2,0,1.438,0.199,0.044,0,120,630,0.014,0.003,72,0.002,0.105,people tested,41.67,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,3/17/2020,Argentina,ARG,17-Mar-20,0,3/17/2020,
ARG,South America,Argentina,3/18/2020,79,14,2,0,1.748,0.31,0.044,0,190,820,0.018,0.004,95,0.002,0.09,people tested,41.67,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,3/18/2020,Argentina,ARG,18-Mar-20,0,3/18/2020,
ARG,South America,Argentina,3/19/2020,97,18,2,0,2.146,0.398,0.044,0,137,957,0.021,0.003,108,0.002,0.103,people tested,75,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,3/19/2020,Argentina,ARG,19-Mar-20,3,3/19/2020,
ARG,South America,Argentina,3/20/2020,128,31,3,1,2.832,0.686,0.066,0.022,214,1171,0.026,0.005,127,0.003,0.109,people tested,88.89,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,3/20/2020,Argentina,ARG,20-Mar-20,3,3/20/2020,
ARG,South America,Argentina,3/21/2020,158,30,3,0,3.496,0.664,0.066,0,295,1466,0.032,0.007,162,0.004,0.109,people tested,88.89,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,3/21/2020,Argentina,ARG,21-Mar-20,3,3/21/2020,
ARG,South America,Argentina,3/22/2020,225,67,4,1,4.978,1.482,0.089,0.022,218,1684,0.037,0.005,182,0.004,0.141,people tested,88.89,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,3/22/2020,Argentina,ARG,22-Mar-20,3,3/22/2020,
